NU_INSCRICAO,NU_NOTA_MT
d425deeec0a3c7006f14d732eff8933d5155067f,469.353
f7e7aa93db083d1f25b43cccf4ad2c03a7953cd3,478.826
716a178e9a6f7791b820da77879943ac9040a547,505.612
430212cd8767ef2bff8cda0f61729203fef7523e,414.986
e97d33221238e445688a0e984778d4ecac788be2,472.839
4bc5712bdb9067b1814e969e71d5cdad59bb38d4,519.144
0411742cbb54fe1b6927b25f0bb52b885828c828,440.535
780505a9d5fc3c6da53686c0cc8bd871f4db00bc,413.703
e4e7a38b58319ad0a5cde4848622b21783c907e9,484.697
9c5a0a82074c75cb072752d71da42b9c6c27b0a3,572.218
aec1b63c3f0c9554e533752d8fe138ca82101d4a,447.584
4cc0fd1efaa148872a1f9edc1b44efef48c91c2b,468.739
4b48d500ba4410546ce01f7f6d44bcbafa73994f,403.579
edf33c347c866d26872f540bcc1f6ae415f3294c,452.87
54f4e6037b9d1eb4a2a134306d37176787f1c1d3,509.333
3a265ea6ebdc4eb2520db912adf5592f03b3d634,427.687
e418fbb77e6ff4103205f3b7f6a66d53183d809b,448.966
8ddbfe70cd41135cb6f125335a48d100789edbf7,404.051
1d3e406d0223d4cb0328850d689ba9fcadf62776,416.185
ecaf075653faf2dcdf946c0ce50629f5083347c0,510.273
7a2bba61a48894f9bd6fc981f77f2b627b0d8ae6,466.629
5b7877d12550dd35d27a02b66a13f2a27bce11ca,454.601
18f800ec03e33ebad5fb97aa8465dd3e5961337e,442.618
b05356be088f726b5ba7e0b0a9aa1b5cf4157b2a,524.234
cc8794762ffa592758b5117d67e0d02e2e8b9c49,509.133
894d277c608610fa8c31db531f64582b9569b2e9,424.027
b2e029961aa0f20071b74708e0d97e6f200ec582,457.957
12c7d85e168b09a0278df140a22bcb0052a59b0a,447.839
64c4892488a9c6281bdabf467a0b5a6382d248e6,507.339
ac112e94587e6e4249b7182329ee5a5040ae94ea,497.642
a58cf11e498228f9aaca92b0c49f955a6163fb59,426.899
e8c84701c041b7f3b39f3125a0449fa633589fbe,498.438
af8dd560d9ea4adcfd0d2b6b5f81f95fad9c3222,558.737
ac9cc7dbe0e70fb6717aa371a23aa75e6594ec02,432.828
e64ad901853230e396be49311ea98121c348fac6,459.223
8532af19be3729ea233c1f29e4c015820fc7fb3a,495.379
6de1d7f2ad49d20e5782f8cacf4f0b677ff2d316,442.42
26853fd075fe27954772c3070997635b94f32b83,422.005
3159f29994dadd5cba1f94c3f3b9ac69e24c1cc2,528.889
574ec310dee846f9ae8eb278480257d463f6fbcc,500.651
8a46e35787225c3e7adef2b998ad9c93a952106b,496.74
b62bf908b504e8c6898777a7f5b88afed358caea,417.812
10d22971ca4f53fc62d02905809ff1c37fbb68fc,643.313
0efd9ad5eb41ad08e1f1af9fbe59eb5845323860,452.32
8f2c4684ec70392c718c278b10b04ddfbd4ced1f,597.048
c03f2bcf9ef69bcfdf270b6ffc6110408f0ead41,444.162
d76614020539405f481c0f5ffb9e6f88a0bf21b7,443.915
92acabe95cd7dd1ae1dd63547cde3a4939cf7e2e,503.01
ddbf5769bc4a6fb2aa16e5a031d8eb7796d1c04c,432.2
176b027cd932b17fcb6f119cfcef338a175062b8,418.747
41474f2dda61d97f38ba79906d3dbcce223d1bd1,461.412
1c5a1514e6a5c44e5683ec01698a83ce474c2e4d,466.252
d4e97da32ccb6987ec074aa48c24ce949c05a78c,422.365
95c1d266a2524560761df98b376c17604733a6ad,540.35
c11c4303d2632cde64105a35554ecb77a8564260,444.539
30ddf113f77266181ef7bf57ea7d4ca3f505fec7,452.077
6d94e9582cfdb5d239f21b3ba08b619d81c5e8aa,529.668
3671441f51dc0c3d052e87d6b8beba46bb70bfeb,439.631
580c34923cbde328e0aef1641dd02033fc862c04,452.386
29d8bf198da9caa59047268faca60207da24d1b7,532.114
1b3f80a1cd9fff0408e96169fcaf006936b34fed,437.295
b5932043b62e0c58e16e2cc2c9d5489390e5c895,442.583
99092cc60948943c59d68d62ed81a75a03059113,484.128
dd69fca6f17420dc911016a79e70583ca7ea330d,422.18
d387995af060965fb9d18973f3dbf4904f071066,417.104
27dbf6c09f5e0f3756ad3e9ea156fbc330601a6a,457.985
543674772357cf9d8a7a8e7dfb89384af80ec30e,468.471
80a12b8a4c9df4ef4f78a33d41858b6f1ea24144,423.327
0736d379ea0962e316ce84cce8e883321be36abb,437.747
98cc842c547c69a0d27776e272fd8b61131b0b37,428.688
890b7696fa85ca2b3e90b3951efec2135e88d5cf,465.955
f3c4cd2f095979416fcac08d630fb1b1623ba5d6,713.621
d84b48f7dc7a6e387e6e985525143589754c5b13,435.253
71c9f09a9ed64f1cf7ba1bef4a614ad21e00afc9,521.459
dc4fe9d4124d9278f58f6f999711116a3fe58be7,450.364
f6624d763619c0898b34dc02adf06f53a1721cd0,460.29
60b1c12559860e7ad966da4c4db5c78e17278fc0,505.142
4f365503582b97ea96462d0d36895a5e7f5926df,450.613
c80869804effb21d50cc8fff3f4c27ba5521240c,450.807
d0f351638d60e84b890a498d69c9a7961cdcdf36,453.513
48e8ec135997ff3676648d5c144c3c7150a7bbb1,445.823
45484014aefd10ea3e4b08fb93e66c251709cca6,434.065
ccd8d735f7b3c980582f9086a6cae8b9ce8dea54,454.676
b2e2d1aa1a539b402da8b8fe52520fdf9ed7cdd9,416.779
25c9e3b023d4d32d0f15cb9041ea6b2bfbec6a63,575.551
0fb75ce5f51e8afaf504c75de131eb31f89faf4f,430.817
26e6e8cec21236dfc21cf98812a3d99a3f87d99b,623.51
c83c66733c5bd90a59996e473bb69e44f6522976,414.349
87f89c855f377c5b100ad2986cc6569e31d94a98,561.567
eaecf3dd32668664e1dcc2d6c7a69042824806a6,449.148
c59b370d3aa06b68878c836bceac844953d74972,433.23
b2128312e70fdb830091aecb6b27d82617e2e226,414.372
8257941af168c0cc15f28bd596fd922352dae732,430.006
854ce153823802674f35bbe1ec010b12e9b3a56f,404.645
27f1db4e266b154f6f7fbef9c225fab472652a7b,418.062
11b90bed4a05d11169f308370faf81d6e9ca2c4f,430.466
e001e1d73163c327a4d800697b1b36cd6921f60d,529.135
b83424ca8973e4b2eebf6eb9e26e842999432d22,408.774
912d751c54b46c860c5ba61666fc6fc59ca2689d,385.811
e114f7b197069bde8e158a0dbeaa022dd0c4e280,429.07
fa84edf183bd459ea9394d77bdc191683a75ff66,569.895
76190ff09a736ff83169394b770699b2709c5a27,485.207
515db15df8581ae72bb8e8358833016adee74e02,455.065
e2a05053c19e6fba60d0e582e6c7f371728a7106,431.885
2378556841bc8d5746f2b94d6adefc2db20f9518,543.639
796d558152d241567f8a72b535a5e36fe78886f3,438.068
1093edca7a04127a6e04570ee9cb58ef1bc0a69a,531.779
3c748fc7a94edb7ac1484373751ffa8574a3281d,423.988
344a6fc8038e291a6371f94963d7a7f5e1c4d55b,434.695
10a1e8808e744c619376bff659f859cd71e8c41d,439.416
fc959dafc37dde3f173f083486d84ce5c817443f,427.483
6979d91c0a1903a336c640e14eed100821a0e24d,488.584
d4e37c4c1235ce014392f6c8ba0436f195b9e459,503.579
565a955a60c6073157aa869c0351c626a7171ef3,547.731
99be797e423b5ae08fe342ea772738f71975df47,717.146
b579ea83f2d6c15b2c717d16a89827d65f39904b,439.447
e9373b5c22567bec508f2fa2580e4dc3ff687caa,577.743
a465af361b68bd536dd8bf61d522b9b21755ab60,458.922
c8feec2a94d996d03534ce935dec7a034667f107,775.173
af1890b4dbccbf8b6af56051a39bd4b13d1c971b,462.713
f4f7888cfe88b7a3b0f3d94749921976353ae82c,452.576
cdf60a765205a4e99eab17c72a68ff9cfd019dc6,448.32
2e466f15ac7b80870736fac2d0cf4bd7f362e852,444.326
fc83a5c665f70f39b4c7d326118cbf21a898e660,625.936
ced4913c2220be57c54bc9f87bb4f441d5976671,460.62
880ade460a231d722e8bb0e4d17f3c8f77663d37,421.783
7c869f5b89ddf3130c87011b6508ee59e32682c5,426.916
9027f65d4e576928ca59690c280050c53d66506a,643.589
09eb415bcb9842d207139c8bddf32427a134d51e,519.249
f8224c83e27f4921df62876f7ff660b1dab3d974,499.115
dfec3182aec0997207e0845b072498065ec89aac,693.654
d653549f6d0ba70e2113b2cc56e9a83e331d2462,552.111
e95674df974af80342f676ca9e3540aecec2b8dc,487.527
f9333cc1eb8af5bca5469d91e2c5d5f661b118ea,528.928
22d86e8b43a9412df86ec15ac231b9919e3ec905,447.177
1c61035799f6afe7f44c1fb68567d7a8945c3943,564.989
d5ed4b8732b0d7127a64f7e71137d321c56cc198,446.018
63edbbe59337f861a710bee4fe8a691d231f23da,421.796
21b8ef230efbfca6b5f15b36a3243d76ed390967,455.649
fdfca50f5e6cacd5b30bc546f0fbc271e9a312ff,414.276
3de3c134579726fe4606b7a05f82ce19f00adb09,632.264
0f3f9e48790ed9d6ed17ff5e9cb989849b31cc8c,433.887
bdaf0955746c2cdd3b9ac2538c7502d312fffed8,421.811
520c60d32fd2af8be76abd332859b36d8ae45900,468.265
6cb6e2310b52c2898e500f81bea938446592568b,471.82
0193b535914e1c5a445bede11a408bf1709cd3cb,460.502
f3669f0c65dbf99cdf8f5f176587e84d5fc7560f,512.614
9b378e3937af8e97d4753cdf0c8917306354aaaf,455.509
1c92f54a5fe563622a0e23cf116461a7e147efd8,541.263
90facc45f7578775e3278aa0bd4fb59dad4d37c1,427.9
c8062c4cc7e023996bd37b87295f5a2957ddb172,466.912
f654c32a17935317b2e91d8e16aa8dcbf88e2ef2,550.21
7dd5b0fad5bd47ecbf2e047dee24866a9b5899d6,453.604
1b61f7e184c7040ae4cea725153965e1f7f75308,473.236
95a9c65324583892b2d1a0c1c5163488f92d4a6d,437.541
5b7e7632cf766876026d0da6aa7c6df77bc13438,437.518
96fd0462597b8cf21b1e918c1947106cd8359e5d,479.399
5c1cef937c40bf8c30c119160bedde7ef679454e,637.85
e39fbeab552a4b6492346d821d095c3a0d691555,433.922
93694c58636eabfe86550e734efb3775ba4d739f,481.7
8982636d1f9cc5832eddae4d8a04ee2c6adbaebd,768.723
6c05e70130682975c1485a862b6e08b895650671,435.725
8db36ae38c19710d51d3715a6b2a5ecd84f94ff4,413.447
15043d6ede69cc06a2f2a72afcb05c1cdb5870d6,420.416
283df09083d3c7bec2590f22355c7ba32ec88623,457.387
5ae9771e0cd24b8eb599de2e0fd2e04a26520dd3,549.319
23131f453efc29c2af9553d307692c60a3add1ae,452.092
da42a6267fe6eb7baa0a4fd2a18aad577e6889b2,445.586
941646a7d24ee2837d7de90ff0a736bb8f61d68c,419.992
5cd0dfc9a768868f28b11f9cf7870f11cc1ed185,477.866
cb4393cd17b5bdc120dbc15ddd255aa1f35ba090,443.192
72882a9cffe151d94be90e02ce3967a91b628099,461.529
cf62916c9829bd3ad05104151eee856d6de7ca1c,598.295
6b8f4241357e65c0491cc0ef96396f811574134c,453.108
268d48d0247f055ce2ebdd47cd5d1d3ec45246dc,419.48
afd0fa3f3fc672e3c5d6c21173b5ba3b8caa5c8e,434.679
8288badec4740382dbf7c33e4095cd4db0021bf7,414.848
5e139289eb167622f915eea3d1d6e49d15d1c873,506.729
fc050b2c8fa3446890fe1418332352177dd34506,436.773
8f309746992f374b4c2ea88f171233a9469ba649,457.915
ba1d192a71d5ac1a0b9a30bf3c80ef9dc59fefa2,468.586
145b6344526f9df32f4046c8227282477c51d69f,447.223
a22cd8d6b6ce7424065e477f2973bfd49b1ff2d6,512.72
b23775f4cd460ba687d77b058f2bc46381a0fbfe,459.964
87c4839ae2e1f274e88e7b9644fc1e1991d10aa2,562.198
d0c56c5d1e19653aeb2c6fdf16c80ed09270dcaa,465.81
2bf8abe8000927aeff885fdb26e82579b54bb657,442.41
dfcd80c91cf897b5a23dc36aeaeabf8137049ae0,534.563
3ef584654da4e658ecdffb68bc4398c97f850ccf,445.407
ea90166cae72eec871b4100ed8df997253bea84b,497.131
0e63d5d397c72b9c9ffa3974b3ccc8c228da98ca,475.891
39e7d2bf0be98a9698aa1369b7ca5576d392a777,446.158
01d88812b1d865b9797b9c57ed7538527593eb1d,573.258
879d82fe92a01214851fbeb62cd533fbc9d4ab87,549.488
bddbc541b26cbdc46bf0e2df980a3c8078f13cb9,438.094
a185d42f150631e1f22e1d81f965dda9833d0bec,418.304
c5994a51d6c24ee4360aee344cebf55bd01c39e3,498.291
bbe2574187920d91ca67a657c5a476f92f8ac142,495.036
8637d558542ccd4a1cd1d3ab336711edad60a966,468.468
30fd3c461823b211ad79159256fdb3eb101deff0,436.592
88c22a24bf7c1f218cdd78973beb0e93d5fabbfa,434.277
4d12becc50fceaa6423313e98858cee7d438cc36,522.565
5c55594ff65d25732d6104cf60588ae877cb6e9c,588.621
ebd6ed760a482a95ddc04d78254761296ea73608,490.376
4ea487e7fd10b89407bd3c72366366f5b505847f,523.238
0a5d7cb6bd339bb5ed303bbba82a3c0e10b1a405,440.036
49a9374bc759c6a4d1f8fce5ade5908afe72803c,450.026
4f735bfdc3f9ff0ca502f569e2511fe07c48f16c,432.889
0f31c91179f811dc6de3d071914cba2716013473,428.354
0d5e00d498ff6f08f74dad2a0d8f566f0c82e978,465.429
a945e7b0eedbc6722edf61c6e9115199efa0e79b,598.554
b52cae71211465e9b76723d1dab3cbb973a76a5e,427.884
c64825379cc10911781e842c315951b835c0246d,436.725
3bbcc2404ed1002943c4a80215c47ff1ba31ebbf,494.901
d077ad9b71684906e32bdfefac01c893ff875c40,497.222
0e02316fc08deb2a0ccf7b606d3564cf17d6763a,449.321
44cb1704d691a020beab734f494635e2603af38b,448.841
c1605ac858a2c5e7a3d674bc0dc56b9bf9fc9b67,453.691
623b39408740e01c79d585779f119b7bd31aca5e,457.579
0954f039d7ce9b83b763b6406d3be54af9d386a0,464.032
feeb6dcbdd5c1d3978768ecfba0f415b01b8cb3b,468.724
bc764ff3e2905ae18491fcc46b2cf1812bf43771,580.76
4d0b3bca1ec9337bb27b9d6710702ebb79a90046,487.542
b62836e36b6a37a18823b0176647b31ed84bd759,463.53
48b56e1d641022967e5b2791de675d524b685afe,457.715
6432732876989f4279e03bea20c37a21e0ce488d,724.505
c322f8d156e174e549a44fdde96be32358ab85a3,455.106
92f7742f9719e14801466a45e33f904e27be2b17,481.904
8f00986f46ca0c0eb14d9d8e811919bb76d29fed,404.137
bfa438beba3914291e0978747404004f6ac79179,434.054
9f7b8de3a22fe246b22d46de9b4c1d219eb1dbba,449.425
7db2c8ad5fbddb754318a9f7d0503ef849ef5729,399.913
9ee6755fd1b35eb53b9ec0d1afeddae8b1d8f38c,474.663
ae6a72fb90a0c32b27c4aa45ff692c3783de2290,433.339
b10d3fcde629e4b68758d3dc58911a113837d255,486.093
2f63a217a4f812d4bb8e3a4a569d43ee7b36a2b2,430.145
587f219b07191d201677be07e43852b73a5dfeda,480.597
c669af3c60a62511990ed5f486c525285df59750,506.812
0dc0351a9da12f74bd5ebc918d60f9580be35182,457.842
20cf36f1ab557d2f44d1fba0291054ecb26d8a8a,409.729
d053a386f5497719e02334cc444acc545258bc3e,505.884
446a666ce7e015158181ce032e318a2ceffad8e1,450.052
ad896f169fe2e02c8cda5553fc0cb4aa100fee20,418.747
80069d0ec6aecb2f74d973c5bdc5c53ff2a48413,465.053
dc56167fb0ffcbf92624206591985da23ba078a3,451.742
10f8e410cadeee997d11e86ed5749c98c184f102,478.152
9c0cedfb49df5633bdc16bc263e8f574a1e283d2,427.277
b18c91072332db5e81e51adf0ad4a18c682fe025,409.864
0d6cc0da68e9b6242b5ce66bbc0ed812fc559874,438.233
040e479d45f83b7944be895d04b035489e544ab1,455.518
b505434998285eb78dfdb4341e4a29cc13a2130a,440.47
b16fb245d399e311b54c8f9edbe23b0814c8b6d7,423.654
1167115298a1ed2c659e1e365224311af48ff8e6,492.675
ce62d6ee9ae7ef876a5642ccf61e1acf7f6aa12c,397.225
386238d9cc8f497486ec335159e3d3fb59d9d57c,479.213
abafba1eacd1b34ef2e197683cc1d19e7c47cd9d,419.25
961f5a44f06750c88181c1809c6d002252b8d4e9,461.79
24605a2eda427ea715d61e72f5e40d6afd31bcfd,577.339
9810f9ad1fed4a44dd3150d3a93c2321402176f7,439.959
0b01e142abc07e710ae4f8a315866d95f16d592b,501.296
ab9b69839b48825032b5f4778eea40e321c1ece5,459.714
3004e0b4f4b454854f0bb254473aa012e17071fd,696.531
84083dec8994b0da91c7be5bd5cf540a92d367f9,404.591
c7edc5daf30c7d84bb0b858deb7b6f0cc58fcad7,516.492
55a278c454fb7415451563c61ed46f5d9dc352d6,487.737
051c748ebab016611de489dfc13b6616d1070361,442.489
e2f476ff901b0c67a7df201c865aca3219bfd803,519.919
7ae5a82f05c571cbccd3d1057aa2ee320633335c,439.617
1c86c6bc97a76e31219f8902c13627c0de70c6cb,495.689
e6b0a19633e93aa0e26b5644d0142d79c7526d5d,428.475
acbc30d483ea45980ae8919a1e608acbb560d796,537.815
d4cc2188bbe4365cbbec0d8e697f5f982d217c55,499.923
3c049c9981020ef5f6968e0eec4e6969fd2f4b0d,437.094
a5c39ced20251de476553163291f5141f9b66d1c,441.585
6d9409ae58f72c208c0ad1c8168080a8deeef8a2,467.817
85e6b7523bb635e5552fa91b4a79122118918668,477.912
5443c9e35006e84510c518efc894c075b606c83f,443.172
80b9f96ee31137fbe9158841eb193d26d6dd762b,475.837
6091d7a1acb022b664e212bbc322932384824ab4,434.459
828f1541b637d7781583e98f754bbb433f2d1dd8,498.666
aace2a613988d1619385514862b227ec1a616255,412.28
45a6fba80a860b768d6b4172b97e35f0b06db075,472.898
4b93629e017653c27a7ac99b9ed6fafa003a6777,481.697
ddd68576dd27c673687d8b04057adc396a75f566,424.327
ed9e6225f3914f90c61a39572bf1ad207688a3f0,482.766
270692d94f5e7f0d9dca2a1acf8f3ab24dbe1bf1,549.295
afcb620ab13d96348763196f200b6bf94ab1c060,483.948
7cfb1d64261039d25784ecc70e9bf286ac9492c9,448.045
4cf6407fb9c6a86e31d6e45ed7ba4e0531279d40,430.748
5dc2bf0223a2c68ccc7a74e5c61571c31eb62343,434.582
d6c682e729a33858ccdaf54a2a3c625c82ddc108,453.773
793d1bfef9d9f220421ffb7b334d6cc0bd005a59,586.399
0ff0abca7be65e556773ff1395550ef791c4d272,498.684
af5143b6372ff9e30d17884cead389c15fefde19,443.316
d1f6e0c6d574a1def695974263f5e1461d99e90f,602.019
31c2a0c6107ea4c62557f793221b4c341b73b958,416.506
650ed2fdd80680c747363dd1085dd191c60a0d8d,501.944
548cda0eb6595f3e63ff696ba2c76968d822e92e,437.967
6e54fe08c0b09ce7e1e97e331fe394ef9bc90ef7,444.353
4c314024a3148ca131970a181ffb67bc108c25f0,446.588
9175008ab4a7ec7a5eb989e56a73c49ad37a0da0,415.827
8276b13cbb842748278f0bb9434d9aa34b8764cf,595.457
dde3ec7e3489818a870e8346cbed7dd39ab15b55,516.583
3ee2b42396bdf4bc036a6cba96664f8ae93c6b8e,408.872
726756441f525880e8b6987fe2cb3e35b8bac203,471.925
cea2338f7449ee46b5492f075395096cd6c6f939,507.424
cbec7350314259d2ba8b3ceceb58a210df4bc681,500.238
9c24a3786f38a3b87cfbdf5a9a920e8d87a32fc6,441.094
02120ff284b0881ece778d68b6adf523440d0a43,549.082
0858ed38f44ef60f451b7a7fa78c0ebc08447ea0,523.953
37479cc6bea164d3d5a329917e99bf1256ca65a0,504.375
59de7100f8842a0de4e46a76d80fe9d2aae7501c,495.022
dee367db96e2cbf6b2a914ae684a5b212cdf5b62,511.983
814e4068b1c6635a9d815252bfb52588654bfa9a,489.043
3db74518ad8faadf00daef29f2aa1d9c2456677a,420.278
5c932a4bce9b2d1d17244a0ff664eb8079842b1b,449.285
ac9116f93ab30680484fecee10333e60a3400ea2,419.706
c23759ab3cb0c1798bb12b54a262ef445806afb3,452.923
c1172ead1d0a8e4dfaf979e48f44e50c8201b879,410.183
2500339c0390a5cf28e1e8df0477e13fd4cdd674,429.326
b586f97dcd32cce5a58846e9451b362bb2610fab,493.125
ca29c819e5edfb5a2af0cc739b092c671cd0ef61,543.163
161dfb26aca998800deca1eeb4fbfe89a52feb49,460.854
f630e84d0fd9bff0d01e51e94ddf21d2d7458d0f,527.006
d7aecd6b60d8431c2c1e0751e9b9d7a9bdac1d34,450.241
8eba2f0dcd23a99655dec302ddeeb45a96353a2a,439.497
dd732838c9fd669241c08abaa56c01e8df68d05a,432.588
ced936a58ffe6323bb917e8aa72dd83e6bf6c1bd,444.043
bbbd21500338762a2e766e1f1e329f56dd1ad7b5,616.31
2bf1e3cfb43778286f4b43c4e1623b4ed5fa2d00,475.529
7f0e7b3bda0941ef1862a12cdeb7320f4e11bba9,413.922
9a40ea9a985309c004b97d695bdec0005ec0e34a,442.149
d9396c10798f8fdeb0b2d7a07e287e26ed47a523,417.72
85615335c72589bd0172d257b352b1c4708660eb,488.772
0a0a040855f52d4ae73d3ecb7ea397c9c8b9c6e7,437.849
fa883407d61fec85d241503f3ab570c000a1b2db,501.279
a10efd91e30aef4700b875a2aa7758834913312a,418.629
cb6093db7de64440b441bced08f3e0cd07f65ea8,484.296
9633c263d32bd988f14096eabc30610389b0627d,442.711
7cac92147c231453d98ad465b2c4a8bd28efd7f8,554.412
